PFMEA_ID,Process_Step_No,Process_Step_Name,Function_ID,Process_Function,Failure_Mode,Failure_Effect_Customer,Failure_Cause,Prevention_Control,Detection_Control,Severity_S,Occurrence_O,Detection_D,Action_Priority_AP,SC_CC_Flag,Recommended_Action
FM-001,P-010,Electrode Coating,F-001,Apply anode slurry uniformly onto copper foil to achieve target coating weight,Coating weight below specification,Insufficient active material — reduced cell capacity — customer gets low energy density cell,Slurry viscosity out of range / pump pressure deviation,Viscosity check every 2 hours — slurry batch control,Inline basis weight measurement (beta gauge),8,4,6,H,SC,Implement SPC on coating weight — reduce measurement interval to every 30 min
FM-002,P-010,Electrode Coating,F-002,Apply anode slurry uniformly onto copper foil to achieve target coating weight,Coating weight above specification,Excess active material — risk of lithium plating — internal short circuit — safety hazard,Pump overpressure — recipe parameter drift,Pump pressure monitoring — recipe lock,Inline basis weight measurement (beta gauge),9,3,5,H,CC,Add automated line stop trigger if coating weight exceeds +3% of nominal
FM-003,P-010,Electrode Coating,F-003,Remove NMP solvent completely during drying to meet residual solvent specification,NMP residual above specification,Electrolyte contamination — degraded SEI layer — cycle life reduction — customer warranty claim,Oven temperature too low — drying speed too fast — insufficient dwell time,Oven temperature profile validation — speed interlocks,Offline NMP residual measurement per lot (GC analysis),9,3,8,H,CC,Increase NMP measurement frequency — implement at-line FTIR for faster feedback
FM-004,P-010,Electrode Coating,F-004,Maintain coating edge position within tolerance to ensure correct electrode geometry,Edge position deviation — coating too close to foil edge,Risk of short circuit at cell assembly — safety,Web guide sensor failure — foil tension variation,Web guide auto-correction system — tension control,Camera vision system inline,8,4,5,H,SC,Validate web guide response time — add redundant edge detection sensor
FM-005,P-010,Electrode Coating,F-005,Maintain coating edge position within tolerance to ensure correct electrode geometry,Coating stripe missing on foil section,Zero active material in that section — dead zone in cell — capacity loss,Slurry supply interruption — clog in slot die,Slurry level alarm — die pressure monitoring,Inline camera — basis weight scan,7,2,6,M,SC,Add die pressure drop alarm with automatic line pause
FM-006,P-020,Calendering,F-006,Compress coated electrode to target thickness and porosity for optimal ion transport,Electrode thickness above target (insufficient compression),High porosity — poor ion transport — reduced rate capability — customer sees poor fast-charge performance,Roll gap set incorrectly — coating weight variation feeding into calender,Roll gap SPC — load cell monitoring,Inline thickness gauge (laser),7,5,4,M,SC,Tighten roll gap control tolerance — link to upstream coating weight data
FM-007,P-020,Calendering,F-007,Compress coated electrode to target thickness and porosity for optimal ion transport,Electrode thickness below target (over-compression),Cracked active material — delamination risk — reduced cycle life,Excessive roll force — incorrect recipe,Roll force limit alarm — recipe lock,Inline thickness gauge — visual inspection sampling,8,3,5,H,SC,Add automatic force rollback if thickness goes below lower spec limit
FM-008,P-020,Calendering,F-008,Maintain electrode surface quality free from defects during compression,Coating delamination from current collector,Active material loss — capacity fade — potential internal contamination,Poor adhesion from coating step — surface contamination on foil,Adhesion peel test on coated rolls before calendering,Visual inspection — adhesion test sampling,8,3,7,H,SC,Add mandatory adhesion check before each calendering roll — SPC on peel strength
FM-009,P-030,Slitting,F-009,Cut electrodes to precise width specification for cell assembly,Electrode width out of tolerance — too narrow,Insufficient active area — reduced capacity — customer complaint,Blade wear — blade misalignment — foil tension variation,Blade replacement schedule — alignment check at setup,Inline width measurement — first article inspection,7,4,5,M,SC,Implement blade wear monitoring — width SPC with 2-hour measurement interval
FM-010,P-030,Slitting,F-010,Cut electrodes to precise width specification for cell assembly,Burr height above specification on cut edge,Risk of separator puncture — internal short circuit — thermal runaway — safety,Blade wear — incorrect blade gap — excessive cutting speed,Blade gap validation at setup — speed limits,Burr height measurement sampling (contact profilometer),9,4,6,H,CC,100% inline burr detection — reduce blade replacement interval — add burr vision system
